id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,2000,2000,2000, 36 months,8.19,62.85,A,A4,Laborer,4 years,MORTGAGE,100000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,154xx,PA,16.42,0,Aug-2005,0,,,13,0,14865,46.9,23,w,1901.26,1901.26,124.34,124.34,98.74,25.6,0.0,0.0,0.0,Feb-2019,62.85,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,192652,1,3,0,3,13.0,38838,70.0,2,5,4207,62,31700,1,1,0,9,14819,9915.0,53.7,0,0,148.0,160,4,4,3,10.0,,17.0,,0,5,8,5,5,9,9,11,8,13,0.0,0,0,2,100.0,0.0,0,0,232306,53703,21400,55275,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9000,9000,8975, 36 months,6.46,275.68,A,A1,Driver,10+ years,MORTGAGE,35000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,068xx,CT,32.65,0,Apr-2012,0,,,13,0,6385,15.6,15,f,8544.32,8520.58,546.52,545.0,455.68,90.84,0.0,0.0,0.0,Feb-2019,275.68,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,53018,1,3,0,1,18.0,17874,43.0,2,4,1736,30,40800,1,0,0,5,4078,27515.0,17.9,0,0,54.0,80,2,2,1,8.0,,18.0,,0,5,6,6,6,4,9,9,6,13,0.0,0,0,2,100.0,0.0,0,0,122237,24259,33500,41362,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,20000,20000,20000, 36 months,13.56,679.29,C,C1,Lead Transportation Security Officer,10+ years,MORTGAGE,98500,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,946xx,CA,9.06,0,Jun-2007,1,,92.0,11,1,9382,19.3,12,w,19088.3,19088.3,1335.98,1335.98,911.7,424.28,0.0,0.0,0.0,Feb-2019,679.29,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,22934,3,1,1,1,3.0,13552,97.0,2,5,4493,37,48700,1,0,2,6,2085,30833.0,20.7,0,0,3.0,138,3,3,0,3.0,,3.0,,0,3,5,7,7,1,10,11,5,11,0.0,0,0,3,100.0,14.3,1,0,62740,22934,38900,14040,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,29450,29450,29450, 36 months,8.19,925.44,A,A4,General Manager,10+ years,MORTGAGE,161000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,933xx,CA,10.99,0,Aug-1990,0,42.0,,6,0,19313,70.0,18,w,27996.17,27996.17,1830.78,1830.78,1453.83,376.95,0.0,0.0,0.0,Feb-2019,925.44,Mar-2019,Feb-2019,0,,1,Individual,,,,0,176,370187,0,2,0,2,13.0,24407,66.0,0,0,16771,68,27600,3,0,0,2,61698,2287.0,89.4,0,0,129.0,340,96,13,4,118.0,42.0,13.0,42.0,0,2,2,2,3,8,3,6,2,6,0.0,0,0,0,94.4,50.0,0,0,436091,43720,21600,36789,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,34625,34625,34625, 60 months,16.14,844.6,C,C4,Vice President,10+ years,MORTGAGE,137500,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,779xx,TX,27.88,0,Dec-1990,1,,,19,0,60229,61.5,31,w,34246.1,34246.1,813.56,813.56,378.9,434.66,0.0,0.0,0.0,Feb-2019,860.13,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,333362,2,7,2,4,4.0,94118,78.0,0,0,23788,70,98000,1,1,1,4,17545,22258.0,69.9,0,0,153.0,336,41,4,3,62.0,,6.0,,0,6,9,6,8,13,11,15,9,19,0.0,0,0,2,100.0,66.7,0,0,445453,154347,73900,137413,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,31450,31450,31450, 36 months,7.56,979.16,A,A3,Construction Manager,7 years,MORTGAGE,130000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,895xx,NV,9.29,0,Jul-1997,0,,,11,0,65911,63.1,17,w,29883.02,29883.02,1885.68,1885.68,1566.98,318.7,0.0,0.0,0.0,Feb-2019,979.16,Mar-2019,Feb-2019,0,,1,Joint App,239000.0,12.77,Verified,0,0,422806,0,0,0,0,75.0,0,,0,0,18962,63,104400,0,2,1,0,42281,29007.0,53.5,0,0,89.0,257,28,28,3,28.0,,11.0,,0,4,6,6,6,2,10,12,6,11,0.0,0,0,0,100.0,33.3,0,0,519900,65911,62400,0,64367.0,Jul-1997,0.0,3.0,14.0,60.9,1.0,19.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15500,15500,15500, 36 months,10.72,505.4,B,B2,Administrative Assistant ,10+ years,RENT,52000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,925xx,CA,16.66,0,Oct-2007,0,,,13,0,13496,33.9,16,w,14762.86,14762.86,996.95,996.95,737.14,259.81,0.0,0.0,0.0,Feb-2019,505.4,Mar-2019,Feb-2019,1,,1,Individual,,,,0,349,19386,1,1,0,1,15.0,5890,59.0,3,4,6061,39,39800,0,2,1,5,1491,14251.0,47.4,0,0,60.0,134,6,6,0,6.0,,11.0,,0,6,8,7,9,2,12,14,8,13,0.0,0,0,3,100.0,0.0,0,0,49742,19386,27100,9942,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,11.8,397.43,B,B4,Transportation Manager,10+ years,RENT,79365,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,104xx,NY,29.7,0,Sep-1988,2,25.0,,20,0,4957,27.8,32,w,11438.39,11438.39,783.06,783.06,561.61,221.45,0.0,0.0,0.0,Feb-2019,397.43,Mar-2019,Feb-2019,0,35.0,1,Individual,,,,0,0,80734,6,8,4,6,2.0,75777,89.0,3,4,1070,78,17800,2,0,4,10,4037,3973.0,40.7,0,0,107.0,363,1,1,0,24.0,,1.0,26.0,1,4,11,5,5,11,12,20,11,20,0.0,0,0,7,81.3,0.0,0,0,103047,80734,6700,85247,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,36000,36000,36000, 60 months,17.97,913.58,D,D1,Pharmacist,9 years,RENT,160000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,021xx,MA,33.17,0,Sep-2008,1,,,24,0,31228,40.7,30,w,35245.43,35245.43,1773.25,1773.25,754.57,1018.68,0.0,0.0,0.0,Feb-2019,913.58,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,138100,2,14,2,3,6.0,105959,61.0,2,3,10979,54,76800,2,0,3,6,5754,45572.0,40.7,0,0,123.0,74,3,3,0,3.0,,1.0,,0,7,7,9,9,18,9,11,7,24,0.0,0,0,4,100.0,22.2,0,0,259812,138100,76800,181515,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 36 months,16.14,1056.79,C,C4,Structural Engineer,7 years,MORTGAGE,116000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,774xx,TX,28.21,1,Feb-1999,1,9.0,,11,0,32317,84.4,38,w,28684.63,28684.63,2073.23,2073.23,1315.37,757.86,0.0,0.0,0.0,Feb-2019,1056.79,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,402141,0,3,1,1,8.0,130534,60.0,0,1,7448,70,38300,1,6,2,4,36558,5606.0,80.2,0,0,185.0,238,13,8,3,13.0,,0.0,,0,4,5,5,12,20,6,14,5,11,0.0,0,0,3,97.4,80.0,0,0,426202,199424,28300,145284,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,3000,3000,3000, 36 months,17.97,108.42,D,D1,IT Assistant,10+ years,RENT,50000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,104xx,NY,30.03,0,Apr-2007,2,,62.0,23,1,8271,27.2,56,w,2872.06,2872.06,212.35,212.35,127.94,84.41,0.0,0.0,0.0,Feb-2019,108.42,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,31910,1,4,1,2,0.0,23639,63.0,0,5,4406,46,30400,1,2,2,7,1450,13459.0,32.7,0,0,116.0,136,17,0,0,20.0,,0.0,,0,5,7,10,24,9,18,46,7,22,0.0,0,0,1,100.0,30.0,1,0,69552,31910,20000,37734,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,35000,35000,35000, 36 months,12.98,1178.96,B,B5,Anti Money Laundering Compliance Manager,2 years,RENT,112000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,606xx,IL,15.55,0,Aug-2004,1,,,10,0,57501,87.9,18,w,33390.59,33390.59,2320.06,2320.06,1609.41,710.65,0.0,0.0,0.0,Feb-2019,1178.96,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,63497,1,1,0,1,19.0,5996,55.0,1,1,14302,83,65400,0,0,1,2,7055,5737.0,89.9,0,0,19.0,172,4,4,0,66.0,,4.0,,0,6,8,7,13,1,9,17,8,10,0.0,0,0,1,100.0,100.0,0,0,76400,63497,56800,11000,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,26500,26500,26500, 60 months,11.31,580.28,B,B3,Compliance Director,10+ years,MORTGAGE,134000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,747xx,OK,18.91,0,Dec-2006,2,,,17,0,43640,65.4,37,w,25835.85,25835.85,1135.58,1135.58,664.15,471.43,0.0,0.0,0.0,Feb-2019,580.28,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,381100,3,3,2,2,4.0,64335,46.0,1,3,10115,58,66700,2,1,7,6,22418,14577.0,70.4,0,0,114.0,144,3,3,4,22.0,,2.0,,0,8,10,9,10,7,13,26,10,17,0.0,0,0,4,100.0,66.7,0,0,430403,107975,49300,88875,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,4000,4000,4000, 36 months,23.4,155.68,E,E1,Security,3 years,RENT,90000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,070xx,NJ,26.33,0,Sep-2006,4,59.0,,15,0,5199,19.2,20,w,3843.13,3843.13,303.56,303.56,156.87,146.69,0.0,0.0,0.0,Feb-2019,155.68,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,66926,5,4,3,4,5.0,61727,86.0,6,11,1353,68,27100,4,0,4,15,4462,20174.0,7.9,0,0,147.0,118,2,2,0,2.0,,0.0,,0,5,7,9,9,8,11,12,7,15,0.0,0,0,9,95.0,0.0,0,0,98655,66926,21900,71555,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 60 months,22.35,333.82,D,D5,Header operator ,< 1 year,OWN,65000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,611xx,IL,13.05,1,Mar-2007,0,7.0,,10,0,9238,41.6,12,w,11777.31,11777.31,645.29,645.29,222.69,422.6,0.0,0.0,0.0,Feb-2019,333.82,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,15481,3,2,1,1,6.0,6243,57.0,2,3,2055,47,22200,0,2,1,4,1548,6491.0,36.4,0,0,141.0,75,4,4,0,4.0,,7.0,7.0,0,3,6,3,3,3,8,9,6,10,0.0,0,0,3,91.7,33.3,0,0,33200,15481,10200,11000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3000,3000,3000, 36 months,15.02,104.03,C,C3,Banker ,4 years,MORTGAGE,60000,Source Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,104xx,NY,21.36,0,Oct-2006,0,,,13,0,11026,49.7,20,w,2866.21,2866.21,204.3,204.3,133.79,70.51,0.0,0.0,0.0,Feb-2019,104.03,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,376508,1,4,2,3,2.0,49048,97.0,1,1,3407,83,22200,0,3,0,5,28962,5402.0,53.0,0,0,146.0,140,9,2,2,28.0,,,,0,4,7,4,6,7,8,11,7,13,0.0,0,0,3,95.0,25.0,0,0,400137,60074,11500,50524,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000, 36 months,14.47,275.26,C,C2,Warehouse Associates,4 years,RENT,42300,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,405xx,KY,19.49,0,Jul-2014,1,,,11,0,8284,21.0,14,w,7640.26,7640.26,540.87,540.87,359.74,181.13,0.0,0.0,0.0,Feb-2019,275.26,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,21732,1,3,1,3,9.0,13448,64.0,3,5,4036,36,39400,4,1,7,8,1976,23710.0,25.4,0,0,28.0,53,2,2,0,7.0,,0.0,,0,3,4,5,6,4,8,10,4,11,0.0,0,0,4,100.0,0.0,0,0,60362,21732,31800,20962,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10250,10250,10250, 36 months,10.72,334.22,B,B2,Teacher,10+ years,MORTGAGE,96000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,919xx,CA,8.31,0,May-2005,0,45.0,,11,0,153,4.1,24,w,9762.53,9762.53,659.28,659.28,487.47,171.81,0.0,0.0,0.0,Feb-2019,334.22,Mar-2019,Feb-2019,0,45.0,1,Individual,,,,0,0,561293,1,8,1,6,5.0,196555,91.0,0,0,0,87,3700,2,0,1,6,51027,700.0,0.0,0,0,157.0,145,34,5,1,135.0,,0.0,,2,0,1,1,4,13,2,10,1,11,0.0,0,0,1,87.5,0.0,0,0,506359,196708,700,172659,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,22400,22400,22400, 60 months,16.14,546.4,C,C4,Paramedic/ Fire Fighter,10+ years,OWN,56000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,234xx,VA,18.47,0,Dec-2004,0,75.0,,15,0,13555,38.2,22,w,21906.46,21906.46,1062.67,1062.67,493.54,569.13,0.0,0.0,0.0,Feb-2019,546.4,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,217072,0,3,1,1,7.0,18515,79.0,1,1,5789,55,35500,1,0,4,2,14471,15054.0,46.6,0,0,113.0,168,7,7,5,36.0,,5.0,,0,5,7,8,8,5,11,12,7,15,0.0,0,0,2,95.5,25.0,0,0,253539,32070,28200,23364,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,27000,27000,27000, 60 months,15.02,642.62,C,C3,Supervisor ,10+ years,MORTGAGE,45000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,656xx,MO,23.55,2,Oct-2006,0,12.0,,11,0,12903,64.8,24,w,26387.86,26387.86,1251.44,1251.44,612.14,639.3,0.0,0.0,0.0,Feb-2019,642.62,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,21902,0,1,0,0,42.0,8999,42.0,0,1,5787,53,19900,0,1,0,1,1991,3225.0,78.1,0,0,144.0,146,17,17,1,17.0,33.0,,12.0,0,6,8,7,13,5,10,18,8,11,0.0,0,0,0,87.5,57.1,0,0,41500,21902,14700,21600,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,24000,24000,24000, 36 months,19.92,890.95,D,D3,overnight supervisor,7 years,RENT,30000,Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,752xx,TX,67.68,0,Jun-1995,2,61.0,,14,0,14906,59.2,15,w,23006.72,23006.72,1742.06,1742.06,993.28,748.78,0.0,0.0,0.0,Feb-2019,890.95,Mar-2019,Feb-2019,0,69.0,1,Joint App,105000.0,35.52,,0,0,67646,1,2,1,1,6.0,52740,80.0,2,5,3780,74,25200,2,0,9,6,5204,6948.0,60.7,0,0,42.0,225,7,6,0,7.0,,2.0,,1,7,11,7,7,3,11,11,11,14,0.0,0,0,3,93.3,28.6,0,0,91348,67646,17700,66148,42959.0,Apr-1990,0.0,0.0,24.0,73.4,2.0,25.0,0.0,2.0,25.0,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,6500,6500,6500, 36 months,10.72,211.95,B,B2,Dealer ,< 1 year,RENT,50000,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,902xx,CA,24.29,0,Mar-2014,2,,,8,0,5724,40.3,10,w,6190.86,6190.86,418.09,418.09,309.14,108.95,0.0,0.0,0.0,Feb-2019,211.95,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,39496,0,1,1,2,7.0,33772,,1,2,1588,40,14200,0,0,3,4,5642,3083.0,46.8,0,0,56.0,57,12,7,0,12.0,,4.0,,0,4,6,4,4,3,7,7,6,8,0.0,0,0,2,100.0,0.0,0,0,50022,39496,5800,35822,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,25000,25000,25000, 36 months,16.91,890.2,C,C5,OFFICE MANAGER,10+ years,RENT,95000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,906xx,CA,13.78,0,Feb-2003,0,,,7,0,28594,48.2,11,w,23920.39,23920.39,1745.17,1745.17,1079.61,665.56,0.0,0.0,0.0,Feb-2019,890.2,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,56546,0,3,2,2,7.0,27952,70.0,0,1,10727,57,59300,1,0,1,3,8078,30706.0,48.2,0,0,133.0,190,20,7,0,20.0,,7.0,,0,4,4,4,5,6,4,5,4,7,0.0,0,0,2,100.0,0.0,0,0,99381,56546,59300,40081,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000, 36 months,10.72,260.86,B,B2,Goldsmith,2 years,RENT,95000,Not Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,612xx,IL,10.47,0,Sep-2002,2,,34.0,17,1,14156,35.9,34,w,7810.6,7810.6,258.48,258.48,189.4,69.08,0.0,0.0,0.0,Feb-2019,265.63,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,25875,1,2,1,1,7.0,11719,73.0,6,11,3232,47,39400,0,3,5,12,1522,1890.0,79.2,0,0,135.0,195,4,4,0,8.0,,4.0,,0,3,12,3,8,6,15,28,12,17,0.0,0,0,7,100.0,66.7,1,0,55400,25875,9100,16000,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,21000,21000,21000, 60 months,15.02,499.81,C,C3,Lpn,5 years,OWN,50000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,444xx,OH,0.0,0,Aug-2007,0,,11.0,5,3,0,0.0,17,w,20523.11,20523.11,973.34,973.34,476.89,496.45,0.0,0.0,0.0,Feb-2019,499.81,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,16802,1,1,0,0,32.0,16802,84.0,2,3,0,75,2300,3,0,2,3,3360,1000.0,0.0,0,0,126.0,136,3,3,0,19.0,,10.0,,0,0,0,1,3,6,4,11,0,5,0.0,0,0,2,100.0,0.0,3,0,22300,16802,1000,20000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,14.47,344.07,C,C2,Teacher ,10+ years,RENT,47000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,283xx,NC,15.25,0,Jul-1996,3,36.0,,12,0,10299,58.2,28,w,9776.51,9776.51,340.05,340.05,223.49,116.56,0.0,0.0,0.0,Feb-2019,352.11,Mar-2019,Feb-2019,0,36.0,1,Individual,,,,0,0,10299,6,0,0,0,47.0,0,,9,14,2981,58,17700,0,0,3,14,858,2660.0,72.6,0,0,47.0,174,1,1,0,5.0,71.0,1.0,71.0,2,5,11,5,10,1,12,26,11,12,0.0,0,0,9,92.9,60.0,0,0,17700,10299,9700,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7500,7500,7500, 36 months,16.14,264.2,C,C4,lab tech,10+ years,OWN,50000,Source Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,280xx,NC,16.11,0,Nov-2014,0,,,10,0,8064,33.7,14,w,7171.15,7171.15,518.31,518.31,328.85,189.46,0.0,0.0,0.0,Feb-2019,264.2,Mar-2019,Feb-2019,0,,1,Individual,,,,0,127,19324,1,2,1,2,4.0,11260,71.0,0,1,2387,49,23900,0,1,2,3,1932,9836.0,45.1,0,0,38.0,49,24,4,0,31.0,,1.0,,0,5,5,6,6,5,8,9,5,10,0.0,0,0,1,100.0,0.0,0,0,39859,19324,17900,15959,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,30000,30000,30000, 36 months,16.91,1068.24,C,C5,customer service,10+ years,RENT,40000,Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,088xx,NJ,16.44,0,Jan-1991,0,,,12,0,17964,38.4,26,w,28699.92,28699.92,2094.2,2094.2,1300.08,794.12,0.0,0.0,0.0,Feb-2019,1068.24,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,29801,1,1,0,0,29.0,11837,79.0,4,4,9000,48,46800,0,0,1,4,2483,18636.0,49.1,0,0,101.0,335,5,5,0,8.0,,8.0,,0,4,4,6,14,5,11,21,4,12,0.0,0,0,4,100.0,50.0,0,0,61800,29801,36600,15000,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3775,3775,3775, 36 months,13.56,128.22,C,C1,,,OWN,5000,Source Verified,Dec-2018,Current,n,,,home_improvement,Home improvement,425xx,KY,66.86,0,Aug-1998,0,,63.0,4,1,2130,40.2,12,w,3689.43,3689.43,128.22,128.22,85.57,42.65,0.0,0.0,0.0,Feb-2019,132.49,Mar-2019,Feb-2019,0,,1,Joint App,29000.0,17.51,Source Verified,0,0,5807,0,1,0,0,26.0,3677,40.0,0,0,1083,40,5300,1,0,4,0,1452,174.0,92.1,0,0,116.0,244,50,26,0,50.0,,3.0,,0,2,3,2,4,6,3,6,3,4,0.0,0,0,0,100.0,100.0,1,0,14392,5807,2200,9092,2812.0,Oct-2006,0.0,0.0,4.0,90.3,2.0,3.0,0.0,0.0,37.0,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5600,5600,5600, 36 months,11.31,184.17,B,B3,,,RENT,20166,Not Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,066xx,CT,39.58,0,Sep-1988,0,,,4,0,14651,87.2,17,w,5335.98,5335.98,363.06,363.06,264.02,99.04,0.0,0.0,0.0,Feb-2019,184.17,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,17115,0,1,0,1,15.0,2464,68.0,0,0,9916,84,16800,0,0,0,1,4279,649.0,95.8,0,0,147.0,363,46,15,2,46.0,,,,0,2,2,2,5,5,3,10,2,4,0.0,0,0,0,100.0,100.0,0,0,20400,17115,15300,3600,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,6000, 36 months,16.14,211.36,C,C4,Facility Maintenance Tech,3 years,RENT,40000,Source Verified,Dec-2018,Current,n,,,other,Other,217xx,MD,3.75,0,Aug-2008,0,,,9,0,5580,10.4,15,w,5736.92,5736.92,414.65,414.65,263.08,151.57,0.0,0.0,0.0,Feb-2019,211.36,Mar-2019,Feb-2019,0,,1,Individual,,,,0,924,6785,0,0,0,0,,0,,1,2,4230,12,53800,1,0,1,3,754,42920.0,11.5,0,0,,124,10,10,0,53.0,,0.0,,0,2,2,4,7,0,8,14,2,9,0.0,0,0,1,100.0,0.0,0,0,55383,6785,48500,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,16000,16000,16000, 36 months,15.02,554.81,C,C3,Plumber,4 years,OWN,50000,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,368xx,AL,17.79,0,Dec-2007,0,35.0,,11,0,10108,65.2,23,w,15286.48,15286.48,1089.59,1089.59,713.52,376.07,0.0,0.0,0.0,Feb-2019,554.81,Mar-2019,Feb-2019,0,72.0,1,Individual,,,,0,0,28254,0,2,1,3,8.0,18146,79.0,0,3,2475,74,15500,0,6,1,6,2825,2847.0,74.1,0,0,132.0,120,13,8,0,13.0,35.0,8.0,35.0,0,5,7,6,8,9,9,14,7,11,0.0,0,0,1,82.6,66.7,0,0,38363,28254,11000,22863,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
,,15000,15000,15000, 36 months,16.14,528.4,C,C4,asst.mgr,3 years,RENT,60000,Source Verified,Dec-2018,Current,n,,,credit_card,Credit card refinancing,301xx,GA,18.86,0,Aug-2008,1,,,11,0,5311,49.2,24,w,14342.31,14342.31,1036.62,1036.62,657.69,378.93,0.0,0.0,0.0,Feb-2019,528.4,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,29454,2,2,4,6,7.0,24143,78.0,3,7,2155,70,10800,2,0,5,13,2678,3158.0,55.5,0,0,124.0,118,1,1,0,1.0,,1.0,,0,3,7,4,5,14,9,10,7,11,0.0,0,0,7,100.0,0.0,0,0,41884,29454,7100,31084,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
